Apartment Name,Address,City,Zip Code,Price,Room,Amenities,Phone,URL
Hyland Hills,275 Oakville Dr,Pittsburgh,PA 15220,"$990 - $1,830",Studio - 3 Beds,"Fitness Center, Dishwasher, Pavillon, High-Speed Internet, Gated, Tennis Court, Basketball Court",(412) 472-7280,https://www.apartments.com/hyland-hills-pittsburgh-pa/qhg5jyw/
Connection at South Side,2984 Sidney St,Pittsburgh,PA 15203,"$1,635 - $3,170",Studio - 2 Beds,"Pets Allowed, Pool",(412) 903-3845,https://www.apartments.com/connection-at-south-side-pittsburgh-pa/2ytyqp8/
Helm on the Allegheny,2239 Railroad St,Pittsburgh,PA 15222,"$1,022 - $3,620",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pavillon, Maintenance on site, Controlled Access, Concierge, EV Charging",(412) 850-3114,https://www.apartments.com/helm-on-the-allegheny-pittsburgh-pa/wlezgzl/
Brewers Block,3234 Liberty Ave,Pittsburgh,PA 15201,"$1,480 - $3,690",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, Pavillon",(412) 754-4666,https://www.apartments.com/brewers-block-pittsburgh-pa/cr8x23f/
The Park at Southside Works,2695 S Water St,Pittsburgh,PA 15203,"$1,710 - $4,485",Studio - 2 Beds,"Pets Allowed, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Patio, Stainless Steel Appliances",(412) 816-8343,https://www.apartments.com/the-park-at-southside-works-pittsburgh-pa/wwklmdk/
The Julian,419 Melwood Ave,Pittsburgh,PA 15213,Call for Rent,Studio - 2 Beds,"Pets Allowed, Fitness Center, Maintenance on site, Stainless Steel Appliances, Elevator, Rooftop Deck",(412) 547-5204,https://www.apartments.com/the-julian-pittsburgh-pa/cnvenke/
The Foundmore,300 Hillview Dr,Pittsburgh,PA 15237,"$1,395 - $3,495",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Pavillon",(412) 534-5415,https://www.apartments.com/the-foundmore-pittsburgh-pa/egccs2p/
Riverwind at Chatham Park Drive,300 Chatham Park Dr,Pittsburgh,PA 15220,"$990 - $1,999",Studio - 3 Beds,"Pets Allowed, Fitness Center, Pool, Maintenance on site, Laundry Facilities, Playground, Basketball Court",(724) 308-5363,https://www.apartments.com/riverwind-at-chatham-park-drive-pittsburgh-pa/72zf9ey/
The Brix at 26,75 S 26th St,Pittsburgh,PA 15203,"$1,750 - $2,399",1 Bed,"Pets Allowed, Dishwasher, In Unit Washer & Dryer, Maintenance on site, Disposal, Granite Countertops, Elevator",(412) 754-4807,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/
North Pointe Commons,100 Park Plaza Dr,Pittsburgh,PA 15229,"$1,095 - $1,620",1-2 Beds,"Pets Allowed, Fitness Center, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer",(412) 472-7476,https://www.apartments.com/north-pointe-commons-pittsburgh-pa/elz83gm/
