Apartment Name,Average Rating,Latitude,Longitude,Price,Discount,Save money,Character,Room Type,Pets_allowed,Free canceled,Amenities,URL
Room in Pittsburgh,4.74 (225),40.42818,-79.98196,$46,No,0,#22 Private Room: Queen Bed + TV in Carson Street,private_room,No,No,,https://airbnb.com/rooms/45321322
Apartment in Pittsburgh,New,40.45931,-80.00108,$60,No,0,Chic 1st Floor Studio Near Hospital,entire_home,No,Yes,,https://airbnb.com/rooms/1227810313647942083
Room in Pittsburgh,New,40.45912,-79.941,$56,No,0,Bloomfield/Shadyside @C Modern & Cozy Private Bdrm,private_room,No,No,,https://airbnb.com/rooms/1243661528960603855
Room in Pittsburgh,4.79 (19),40.42347,-79.8893,$34,No,0,Spacious & beautiful 1 bedroom in Pittsburgh (#5),private_room,No,No,,https://airbnb.com/rooms/552036598391425450
Apartment in Pittsburgh,4.83 (80),40.42561,-80.00629,$74,Yes,35,"Refined Studio, New Construction, 1 Mile From Town",entire_home,No,No,,https://airbnb.com/rooms/45482686
Apartment in Pittsburgh,4.79 (24),40.42805,-79.97657,$61,No,0,Cozy 1 Bedroom in the South Side,entire_home,No,No,,https://airbnb.com/rooms/1175212491064525105
Apartment in Pittsburgh,New,40.38733,-79.97576,$80,No,0,Furnished 1 bedroom basement Apartment.,entire_home,No,Yes,,https://airbnb.com/rooms/1240695858847038844
Apartment in Pittsburgh,4.89 (187),40.45567,-79.93072,$96,Yes,10,Super safe & Walkable area~Free off street parking,entire_home,No,Yes,,https://airbnb.com/rooms/54195012
Home in Pittsburgh,New,40.4794769,-79.9766851,$128,No,0,Millvale: Near Hospitals & Trail,entire_home,No,No,,https://airbnb.com/rooms/1216176388374104893
Apartment in Pittsburgh,4.91 (90),40.42894,-79.97673,$84,No,0,Convenient 1 BR With City View,entire_home,No,No,,https://airbnb.com/rooms/1058015266816537701
Home in Pittsburgh,4.98 (182),40.45186,-80.01847,$115,Yes,48,Stroll to Heinz Field From Former 1895 Electric Shop,entire_home,No,Yes,,https://airbnb.com/rooms/26769432
Apartment in Pittsburgh,4.97 (719),40.44283676147461,-79.93583679199219,$113,No,0,"Spacious, warm, private apartment near CMU /Pitt",entire_home,No,Yes,,https://airbnb.com/rooms/31489414
Apartment in Millvale,4.97 (116),40.48497941491241,-79.97260902114776,$69,No,0,*Comfy & Clean* 1BR Millvale apt,entire_home,No,Yes,,https://airbnb.com/rooms/758559013448433882
Home in Pittsburgh,4.89 (54),40.41984770401134,-79.97227535642475,$51,No,0,w 1BR 2BA sleeps 2 refreshed Southside slopes CB1,entire_home,No,Yes,,https://airbnb.com/rooms/690859827209832350
Apartment in Pittsburgh,4.9 (398),40.46264,-79.93508,$58,Yes,17,PRIVATE FULL STUDIO IN PITTSBURGH (C2),entire_home,No,Yes,,https://airbnb.com/rooms/21815781
Home in Pittsburgh,4.97 (155),40.4684385,-79.9547943,$125,Yes,13,King Bed / Free Parking / Arcade / BBQ / Patio,entire_home,No,No,,https://airbnb.com/rooms/838260744522639655
Home in Pittsburgh,4.97 (39),40.4281,-79.97774,$74,Yes,13,2 King Beds / Free Parking / Arcade / Fire Pit,entire_home,No,No,,https://airbnb.com/rooms/1120568933416466007
Home in Pittsburgh,New,40.45648,-79.99723,$102,No,0,Private Parking • Brand new Cozy Haven,entire_home,No,No,,https://airbnb.com/rooms/1210530273672656405
Home in Troy Hill,5.0 (27),40.45843,-79.99408,$85,Yes,30,Northside Urban Escape,entire_home,No,Yes,,https://airbnb.com/rooms/1073207662334998838
Home in Bloomfield,4.95 (159),40.4562314,-79.9480883,$178,Yes,31,Spacious Luxury 6 BR Art Deco Home In The City,entire_home,No,No,,https://airbnb.com/rooms/754568595630789157
Apartment in Downtown Pittsburgh,5.0 (9),40.44309,-79.99864,$137,Yes,21,Sophisticated 2BR loft downtown,entire_home,No,No,,https://airbnb.com/rooms/1209020348019967994
Home in Mount Washington,4.91 (67),40.4359222,-80.0156104,$123,No,0,Scenic Haven: Downtown 3BR/2BA w/Parking + Patio,entire_home,No,Yes,,https://airbnb.com/rooms/978216529853207039
Apartment in Pittsburgh,4.9 (21),40.4848599,-79.9732329,$75,Yes,11,Northstar Suite - 10 minutes from the Arena,entire_home,No,No,,https://airbnb.com/rooms/1052224602188300893
Aparthotel in Brighton Heights,4.88 (156),40.4811,-80.03129,$60,No,0,"420 friendly (Ozone treated) w HBO, Hulu, Netflix",private_room,No,No,,https://airbnb.com/rooms/48425655
Apartment in Pittsburgh,New,40.45435,-80.00236,$105,No,0,*8 min WALK to Stadium Complex!,entire_home,No,No,,https://airbnb.com/rooms/1239725646732404955
Home in Pittsburgh,5.0 (15),40.45993,-80.05033,$95,Yes,55,"Sunny, spacious 5 bedroom 3 bath",entire_home,No,Yes,,https://airbnb.com/rooms/1098616193869426258
Condo in Downtown Pittsburgh,4.68 (25),40.44367,-79.99849,$70,Yes,38,Elegant 1 Bed Apt near PNC w washer & dryer,entire_home,No,No,,https://airbnb.com/rooms/1003527769546836624
Home in Pittsburgh,New,40.4794827,-79.95290159999999,$71,Yes,17,3BDR Townhouse in Pittsburg 419 1/2,entire_home,No,Yes,,https://airbnb.com/rooms/1253090818210539145
Apartment in Downtown Pittsburgh,4.54 (337),40.44257,-80.00697,$97,Yes,12,River View Two Double Beds at  Pittsburgh Downtown,entire_home,No,Yes,,https://airbnb.com/rooms/825672836572972606
Apartment in Mount Washington,4.79 (47),40.43451,-80.01008,$88,Yes,125,Charming Apt - Panoramic Views,entire_home,No,No,,https://airbnb.com/rooms/1062387408333114005
Home in Pittsburgh,4.86 (99),40.44489,-79.86118,$95,Yes,37,Beautifully Remodeled 4-Bedroom Colonial Thriller,entire_home,No,Yes,,https://airbnb.com/rooms/716158067480625772
Apartment in Pittsburgh,4.41 (44),40.47901,-79.94288,$91,Yes,38,Charming Suite in Upper Lawrenceville - Downtown!,entire_home,No,No,,https://airbnb.com/rooms/864349412539928877
Home in Pittsburgh,4.78 (153),40.36877,-80.02417,$65,No,0,✨Cozy & Stylish 2BR House 🏡 Sleeps 6✨Free Parking,entire_home,No,Yes,,https://airbnb.com/rooms/53518776
Home in Mount Washington,New,40.423940263233405,-79.99862580190992,$122,No,0,Fully Renovated Classic Home!,entire_home,No,Yes,,https://airbnb.com/rooms/1250263360707484290
Home in Pittsburgh,4.97 (362),40.38856,-80.04557,$129,No,0,Head to Pittsburgh From Mt. Lebanon Cottage,entire_home,No,Yes,,https://airbnb.com/rooms/29051237
Home in Pittsburgh,4.67 (51),40.38644,-80.04537,$85,No,0,Luxe Mt. Lebanon Home | Central | Free Parking,entire_home,No,No,,https://airbnb.com/rooms/999465084145903782
Home in Pittsburgh,New,40.386821369120916,-80.03693047387367,$128,No,0,Energetic Oasis,entire_home,No,Yes,,https://airbnb.com/rooms/1253053088383989580
Apartment in Pittsburgh,5.0 (19),40.4532353,-79.9352881,$91,Yes,10,Luxurious Double KING~Steps to Walnut St~PARKING,entire_home,No,Yes,,https://airbnb.com/rooms/1200852786785733774
Home in Coraopolis,New,40.51942425858541,-80.16581800505807,$109,No,0,Pittsburgh Getaway,entire_home,No,No,,https://airbnb.com/rooms/1200986457180350517
Apartment in Pittsburgh,4.92 (103),40.48195,-79.97583,$90,Yes,13,Spacious 1 bedroom / 2 full bath in hip Millvale!,entire_home,No,Yes,,https://airbnb.com/rooms/575349045870345703
