Apartment Name,Room Type,Unit Number,Unit Price,Unit Area,Available Time
The Foundmore,S4	Studio	1 bath,4-115,"$1,395",565 Sq Ft,Now
The Foundmore,S1	Studio	1 bath,4-101,"$1,415",480 Sq Ft,Now
The Foundmore,S1	Studio	1 bath,6-101,"$1,440",480 Sq Ft,Now
The Foundmore,S1	Studio	1 bath,6-301,"$1,450",480 Sq Ft,Oct 8
The Foundmore,J1	Studio	1 bath,2-114,"$1,500",590 Sq Ft,Now
The Foundmore,J1	Studio	1 bath,4-212,"$1,505",590 Sq Ft,Now
The Foundmore,J1	Studio	1 bath,4-310,"$1,510",590 Sq Ft,Now
The Foundmore,A1	1 bed	1 bath,4-322,"$1,625",593 Sq Ft,Now
The Foundmore,A1	1 bed	1 bath,6-422,"$1,695",593 Sq Ft,Now
The Foundmore,A4	1 bed	1 bath,4-108,"$1,665",778 Sq Ft,Now
The Foundmore,A4	1 bed	1 bath,4-114,"$1,665",778 Sq Ft,Now
The Foundmore,A4	1 bed	1 bath,4-116,"$1,665",778 Sq Ft,Now
The Foundmore,A3-X	1 bed	1 bath,6-215,"$1,795",777 Sq Ft,Now
The Foundmore,B1	1 bed	1 bath,5-109,"$1,850",850 Sq Ft,Now
The Foundmore,B1	1 bed	1 bath,2-109,"$1,870",850 Sq Ft,Now
The Foundmore,B1	1 bed	1 bath,2-107,"$1,870",850 Sq Ft,Now
The Foundmore,B2	1 bed	1 bath,2-205,"$1,970",924 Sq Ft,Now
The Foundmore,A5	1 bed	1 bath,6-121,"$1,820",804 Sq Ft,Oct 1
The Foundmore,C1	2 beds	2 baths,5-101,"$2,070","1,006 Sq Ft",Now
The Foundmore,C1	2 beds	2 baths,2-116,"$2,215","1,006 Sq Ft",Now
The Foundmore,C1	2 beds	2 baths,2-216,"$2,255","1,006 Sq Ft",Now
The Foundmore,C3	2 beds	2 baths,4-218,"$2,175","1,056 Sq Ft",Now
The Foundmore,C3	2 beds	2 baths,4-318,"$2,205","1,056 Sq Ft",Now
The Foundmore,C3	2 beds	2 baths,4-118,"$2,210","1,056 Sq Ft",Now
The Foundmore,C2	2 beds	2 baths,4-220,"$2,290","1,081 Sq Ft",Now
The Foundmore,C2	2 beds	2 baths,6-220,"$2,390","1,081 Sq Ft",Now
The Foundmore,C2	2 beds	2 baths,6-120,"$2,400","1,081 Sq Ft",Now
The Foundmore,C5	2 beds	2 baths,4-202,"$2,585","1,173 Sq Ft",Now
The Foundmore,C5	2 beds	2 baths,4-302,"$2,590","1,173 Sq Ft",Now
The Foundmore,C5	2 beds	2 baths,4-102,"$2,595","1,173 Sq Ft",Now
The Foundmore,T1	3 beds	2.5 baths,T80,"$3,295","1,940 Sq Ft",Now
The Foundmore,T1	3 beds	2.5 baths,T70,"$3,295","1,940 Sq Ft",Now
The Foundmore,T1	3 beds	2.5 baths,T120,"$3,345","1,940 Sq Ft",Now
Riverwind at Chatham Park Drive,Studio	1 bath,The Scott,$990,491 – 506 sq ft,Available Soon
Riverwind at Chatham Park Drive,Studio	1 bath,The Pine,$990,506 – 608 sq ft,Available Soon
Riverwind at Chatham Park Drive,1 bed	1 bath,The Cavendish,"$1,240",491 sq ft,Available Soon
Riverwind at Chatham Park Drive,1 bed	1 bath,The Royal Oak,"$1,240",698 sq ft,Available Soon
Riverwind at Chatham Park Drive,2 beds	1.5 baths,The Hillgate,"$1,590",965 sq ft,Available Soon
Riverwind at Chatham Park Drive,2 beds	1.5 baths,The Chatham,"$1,739","1,000 – 1,053 sq ft",Available Soon
Riverwind at Chatham Park Drive,3 beds	2.5 baths,The Coachman,"$1,999","1,459 sq ft",Available Soon
The Brix at 26,1 bed	1 bath,610,"$1,750",694 sq ft,Available Now
The Brix at 26,1 bed	1 bath,303,"$1,799",662 sq ft,Available Now
